,author,text,like_count,published_at,updated_at
16,Tính Huỳnh Trung,Mà chất lượng tốt k v a,0,2023-04-04T08:43:54Z,2023-04-04T08:43:54Z
17,Tính Huỳnh Trung,😢,0,2023-03-28T17:41:02Z,2023-03-28T17:41:02Z
18,Phúc Nguyễn Hoàng,"năm 2022 trường tăng gần 100k học phí /tín thành 655k/tín rồi anh, mà lại nghe nói csvc không tốt với cả dạy lan man nữa",0,2022-08-11T04:03:00Z,2022-08-11T04:03:00Z
19,Thảo Nguyễn ,"A làm về đại học thương binh xã hội, ngành công tác xã hội sau này làm gì với ạ. Em cảm ơn a ❤❤❤",1,2022-07-24T03:57:23Z,2022-07-24T03:57:23Z
20,anhthu pham,học phí ptit như vậy là thấp hay là cao z ạ,0,2022-07-19T09:54:41Z,2022-07-19T09:54:41Z
21,Huy Hoàng Nguyễn,rất cao so với mặt bằng chung,0,2022-10-12T15:54:03Z,2022-10-12T15:54:03Z
22,Phan Văn Chiến,Thi 27+ là đc miễn học phí năm đầu luôn ạ ?,0,2022-05-19T04:55:54Z,2022-05-19T04:55:54Z
23,Vũ Văn Cường,Ngành công nghệ đa phương tiện có gì hot ạ,0,2022-03-24T13:32:15Z,2022-03-24T13:32:15Z
24,Hoan Nguyễn,Trường này có xét tuyển tài năng không nhỉ?,0,2022-03-20T01:27:51Z,2022-03-20T01:27:51Z
25,Minh Thanh,Là sinh viên ptit chỉ biết cười nhẹ :)),0,2022-02-15T15:51:38Z,2022-02-15T15:51:38Z
26,Mina Pham,a cho e xin rì viu trường đc hong a,0,2022-02-20T08:00:57Z,2022-02-20T08:00:57Z
27,Khả Ái Nguyễn,Anh làm trường Đại Học VĂn Hóa Hồ Chí Minh đi ạ em thấy ít người làm trường này quá,1,2021-12-25T13:28:54Z,2021-12-25T13:28:54Z
28,Uyên Mai,Anh làm về đại học Kiếm Trúc TPHCM đi ạ,1,2021-12-21T07:58:38Z,2021-12-21T07:58:38Z
29,Uyên Mai,Anh review Trường đại học Kiến Trúc TPHCM đi ạ,1,2021-12-21T07:57:57Z,2021-12-21T07:57:57Z
